Player,Technical,Tactical,Physical,Mental
Albert Ramos-Vinolas,80.8,82.4,84.9,65.3
Alex De Minaur,17.3,44.5,69.8,47.6
Alexander Zverev,91.1,35.6,48.8,79.7
Andreas Seppi,82.4,60.8,87.6,79.1
Andrey Kuznetsov,80.3,55.8,58.7,61
Andrey Rublev,44.5,48.9,46,43.6
Andy Murray,91.4,94.2,89.8,95.5
Benoit Paire,41.1,7.6,51.6,37
Bernard Tomic,22.9,68.3,41.4,66.5
Damir Dzumhur,46.5,66.1,89.8,45.3
Daniel Evans,18.2,60.7,75.4,39
David Ferrer,47.9,91.5,76.5,86.9
David Goffin,85.8,74.6,75.3,86.7
Denis Istomin,58.2,46.6,42,20.9
Diego Sebastian Schwartzman,89.6,29.7,80.5,44.9
Dominic Thiem,91.9,90,91.9,90.5
Fabio Fognini,79.4,87.4,83,76.5
Fernando Verdasco,86.9,75.8,41.7,67.9
Gael Monfils,93.2,85.9,76.9,90.1
Gilles Muller,16.4,24.9,32.6,40.8
Gilles Simon,70.1,86.4,70.1,80
Grigor Dimitrov,84.1,88.2,87.8,89.6
Guido Pella,64.7,64.2,74,54.7
Guillermo Garcia-Lopez,37.5,65.6,50.7,37.7
Hyeon Chung,87.8,80.1,90.2,23
Ivo Karlovic,14.1,16.5,15.1,23
Jack Sock,77.9,56.1,58.1,74.2
Jo-Wilfried Tsonga,79.3,87.9,91.1,94
Joao Sousa,9.8,10.8,30.3,18.8
John Isner,42.3,12.8,11,90.9
John Millman,19.6,65.9,65.8,61.3
Jordan Thompson,47.6,21.3,28.9,22.5
Juan Martin Del Potro,73.9,67.8,80.2,94.4
Julien Benneteau,62.9,41.9,45.1,58.8
Kei Nishikori,90.2,94.4,79.6,86.6
Kyle Edmund,92.2,88.3,85.4,58
Marcos Baghdatis,46.6,36.2,27.9,66.1
Marin Cilic,89.2,85.1,91.7,93
Milos Raonic,73.2,48.2,40,93.7
Mischa Zverev,73.9,90.4,85.7,55.2
Nick Kyrgios,74.8,63.7,35,87.6
Novak Djokovic,94.4,95.8,93.7,95.6
Pablo Carreno-Busta,42.1,73,55.5,70.1
Pablo Cuevas,32.1,13.1,44.1,52.4
Paolo Lorenzi,40.7,62.7,60.7,53.5
Philipp Kohlschreiber,66.1,86.6,80.7,68.2
Rafael Nadal,92,96.3,95.1,95.7
Richard Gasquet,84.1,88.4,89.4,87.7
Roberto Bautista Agut,78.6,88.3,52.2,89.6
Roger Federer,95.7,96,82.4,95.7
Ryan Harrison,81.3,8.3,44.7,56.2
Sam Querrey,58.9,41.8,35,85.1
Stan Wawrinka,88.1,71.6,76.4,92.2
Tomas Berdych,91.3,92.4,89.5,84.2
Viktor Troicki,21.9,17.9,90.1,36.8
Yoshihito Nishioka,9.1,37.8,76.7,11.4
